"","s1"
"(Intercept)",-1.19554399469311
"sales_mil_log",0
"sales_mil_log_sq",0
"total_assets_bs",0
"fixed_assets_bs",0.0299126797839352
"liq_assets_bs",-0.0409862468368528
"curr_assets_bs",0
"share_eq_bs",-0.0059586362008394
"subscribed_cap_bs",-0.00725191520634311
"intang_assets_bs",0
"extra_exp_pl",0
"extra_inc_pl",0.00795403513779952
"extra_profit_loss_pl",0
"inc_bef_tax_pl",0
"inventories_pl",0
"material_exp_pl",0.00786586535735157
"profit_loss_year_pl",0
"personnel_exp_pl",-0.142282155940269
"extra_profit_loss_pl_quad",0.00606363949962247
"inc_bef_tax_pl_quad",0.0120114491790176
"profit_loss_year_pl_quad",0
"share_eq_bs_quad",-0.0388507406736474
"extra_profit_loss_pl_flag_low",0
"inc_bef_tax_pl_flag_low",0.0275120406082256
"profit_loss_year_pl_flag_low",0
"share_eq_bs_flag_low",0
"extra_exp_pl_flag_high",0
"extra_inc_pl_flag_high",0.0420595452954391
"inventories_pl_flag_high",0
"material_exp_pl_flag_high",0
"personnel_exp_pl_flag_high",0
"curr_liab_bs_flag_high",0
"liq_assets_bs_flag_high",0
"subscribed_cap_bs_flag_high",0
"extra_profit_loss_pl_flag_high",0
"inc_bef_tax_pl_flag_high",0.0182742785357083
"profit_loss_year_pl_flag_high",0
"share_eq_bs_flag_high",0
"extra_exp_pl_flag_error",0
"extra_inc_pl_flag_error",0.00480628676165506
"inventories_pl_flag_error",0
"material_exp_pl_flag_error",0
"personnel_exp_pl_flag_error",0
"curr_liab_bs_flag_error",0
"liq_assets_bs_flag_error",0.0100829179907596
"extra_profit_loss_pl_flag_zero",0
"inc_bef_tax_pl_flag_zero",0.00648502390650946
"profit_loss_year_pl_flag_zero",0
"share_eq_bs_flag_zero",-0.0222407328740637
"d1_sales_mil_log_mod",0.226838798786854
"d1_sales_mil_log_mod_sq",0.00325926865925303
"flag_low_d1_sales_mil_log",0.0729475040186641
"flag_high_d1_sales_mil_log",0
"female",0
"ceo_age",-0.0517939399949809
"flag_high_ceo_age",0
"flag_low_ceo_age",0
"flag_miss_ceo_age",0
"ceo_count",0
"foreign_management",0
"age",-0.23841439309942
"age2",0
"new",0.127066002353949
"ind2_cat27",0
"ind2_cat28",0
"ind2_cat29",0
"ind2_cat30",0.0103196903968557
"ind2_cat33",0
"ind2_cat55",0
"ind2_cat56",0
"m_region_locEast",0.00602931630483027
"m_region_locWest",0
"urban_m2",0.00679203385985165
"urban_m3",0
"balsheet_flag",0
"balsheet_length",0
"balsheet_notfullyear",0
"age:ind2_cat27",0
"age:ind2_cat28",0
"age:ind2_cat29",0
"age:ind2_cat30",0
"age:ind2_cat33",0
"age:ind2_cat55",0
"age:ind2_cat56",0
"age2:ind2_cat27",0
"age2:ind2_cat28",0
"age2:ind2_cat29",0.00368376744186607
"age2:ind2_cat30",0
"age2:ind2_cat33",0
"age2:ind2_cat55",0
"age2:ind2_cat56",0
"d1_sales_mil_log_mod:ind2_cat27",0
"d1_sales_mil_log_mod:ind2_cat28",0
"d1_sales_mil_log_mod:ind2_cat29",0.00888199236833293
"d1_sales_mil_log_mod:ind2_cat30",0
"d1_sales_mil_log_mod:ind2_cat33",0
"d1_sales_mil_log_mod:ind2_cat55",0
"d1_sales_mil_log_mod:ind2_cat56",0.0637318512193049
"sales_mil_log:ind2_cat27",0.0224088940136773
"sales_mil_log:ind2_cat28",0.0207811071357566
"sales_mil_log:ind2_cat29",0
"sales_mil_log:ind2_cat30",0
"sales_mil_log:ind2_cat33",0.0049733537745479
"sales_mil_log:ind2_cat55",0
"sales_mil_log:ind2_cat56",-0.00935943195112995
"ceo_age:ind2_cat27",0
"ceo_age:ind2_cat28",0
"ceo_age:ind2_cat29",0
"ceo_age:ind2_cat30",0
"ceo_age:ind2_cat33",0
"ceo_age:ind2_cat55",0
"ceo_age:ind2_cat56",0
"foreign_management:ind2_cat27",0
"foreign_management:ind2_cat28",0
"foreign_management:ind2_cat29",0
"foreign_management:ind2_cat30",0
"foreign_management:ind2_cat33",0
"foreign_management:ind2_cat55",-0.00451189777597582
"foreign_management:ind2_cat56",0.0226008721554253
"female:ind2_cat27",-0.00278619711440513
"female:ind2_cat28",0.00487764607687448
"female:ind2_cat29",0
"female:ind2_cat30",0
"female:ind2_cat33",0
"female:ind2_cat55",-0.0139845063415086
"female:ind2_cat56",0
"ind2_cat27:urban_m2",0.0115089236138338
"ind2_cat28:urban_m2",0.017779991839111
"ind2_cat29:urban_m2",0
"ind2_cat30:urban_m2",0
"ind2_cat33:urban_m2",0
"ind2_cat55:urban_m2",0
"ind2_cat56:urban_m2",0
"ind2_cat27:urban_m3",0
"ind2_cat28:urban_m3",0
"ind2_cat29:urban_m3",0
"ind2_cat30:urban_m3",0
"ind2_cat33:urban_m3",0
"ind2_cat55:urban_m3",-0.00468553359509876
"ind2_cat56:urban_m3",0
"sales_mil_log:age",0
"sales_mil_log:female",0
"sales_mil_log:profit_loss_year_pl",0
"sales_mil_log:foreign_management",-0.0132890419982084
